surah,ayah,latin_iast,latin_ascii
6,78,"ataḥpara yakhana se sūryake udbhāsita dekhate pela takhana se valalaḥ eṭii āmāra rāvva! eṭi vṛhattara. ataḥpara yakhana oṭā ḍuve gela takhana valalaḥ he āmāra sampradāẏa! tomādera śirakera sāthe āmāra ādau kona samparka nei, āmi mukta.","atahpara yakhana se suryake udbhasita dekhate pela takhana se valalah etii amara ravva! eti vrhattara. atahpara yakhana ota duve gela takhana valalah he amara sampradaya! tomadera sirakera sathe amara adau kona samparka nei, ami mukta."
6,79,"āmāra mukhamanḍalake āmi ekaniṣṭhabhāve sei mahāna sattāra dike phirācchi yini nabhomanḍala o bhū-manḍala sṛṣṭi karechena, āra āmi muśarikadera antarbhukta nai.","amara mukhamandalake ami ekanisthabhave sei mahana sattara dike phiracchi yini nabhomandala o bhu-mandala srsti karechena, ara ami musarikadera antarbhukta nai."
6,80,"āra tāra jātira lokerā tāra sāthe jhagar̤ā karate thākale se tāderake valalaḥ tomarā ki āllāhara vyāpāre āmāra sāthe jhagar̤ā karacho? athaca tini āmāke saṭhika pathera sandhāna diẏechena! tomarā āllāhara sāthe yā kichu śarīka karacho āmi odera bhaẏa karinā, tave yadi āmāra rāvva kichu cāna. pratiṭi vastu samparke āmāra ravera jñāna khuvai vyāpaka, era pareo ki tomarā upadeśa grahaṇa karavenā?","ara tara jatira lokera tara sathe jhagara karate thakale se taderake valalah tomara ki allahara vyapare amara sathe jhagara karachoy athaca tini amake sathika pathera sandhana diyechena! tomara allahara sathe ya kichu sarika karacho ami odera bhaya karina, tave yadi amara ravva kichu cana. pratiti vastu samparke amara ravera jnana khuvai vyapaka, era pareo ki tomara upadesa grahana karavenay"
6,81,"tomādera managar̤ā o vānāno śarīkaderake āmi kirūpe bhaẏa karate pāri? athaca tomarā ei bhaẏa karachanā ye, āllāhara sāthe yāderake tomarā śarīka karacha tādera vyāpāre āllāha tomādera kāche kona dalīla pramāṇa avatīrṇa karenani, āmādera dui dalera madhye kārā adhikatara śānti o nirāpattā lābhera adhikārī yadi tomādera jānā thāke tāhale valata?","tomadera managara o vanano sarikaderake ami kirupe bhaya karate pariy athaca tomara ei bhaya karachana ye, allahara sathe yaderake tomara sarika karacha tadera vyapare allaha tomadera kache kona dalila pramana avatirna karenani, amadera dui dalera madhye kara adhikatara santi o nirapatta labhera adhikari yadi tomadera jana thake tahale valatay"
6,82,"prakṛta pakṣe tārāi śānti o nirāpattāra adhikārī evaṃ tārāi saṭhika pathe paricālita, yārā nijedera īmānake yulamera sāthe (śirkera sāthe) miśrita kareni.","prakrta pakse tarai santi o nirapattara adhikari evam tarai sathika pathe paricalita, yara nijedera imanake yulamera sathe (sirkera sathe) misrita kareni."
6,83,"āra eṭāi chila āmāra yukti pramāṇa, yā āmi ivarāhīmake tāra svajātira mukāvilāẏa dāna karechilāma. āmi yāke icchā kari, sammāna-martavā o mahattva vār̤iẏe dei, niḥsandehe tomāra rāvva prajñāmaẏa o vijña.","ara etai chila amara yukti pramana, ya ami ivarahimake tara svajatira mukavilaya dana karechilama. ami yake iccha kari, sammana-martava o mahattva variye dei, nihsandehe tomara ravva prajnamaya o vijna."
6,84,"āmi tāke isahāka o iẏākūvake dāna karechi evaṃ ubhaẏakei saṭhika pathera sandhāna diẏechi, āra tāra pūrve nūhakeo saṭhika pathera hidāẏāta diẏechi; āra tāra (ivarāhīmera) vaṃśera madhye dāūda, sulāimāna, āiuva, iusupha, mūsā o hārūnake emanibhāvei saṭhika pathera sandhāna diẏechi. emanibhāvei āmi sat o puṇyaśīla lokaderake pratidāna diẏe thāki.","ami take isahaka o iyakuvake dana karechi evam ubhayakei sathika pathera sandhana diyechi, ara tara purve nuhakeo sathika pathera hidayata diyechi; ara tara (ivarahimera) vamsera madhye dauda, sulaimana, aiuva, iusupha, musa o harunake emanibhavei sathika pathera sandhana diyechi. emanibhavei ami sat o punyasila lokaderake pratidana diye thaki."
6,85,"āra yākāriẏā, iẏāhaiẏā, īsā o iliẏāsa - tārā pratyekei sat lokadera antarbhukta chila.","ara yakariya, iyahaiya, isa o iliyasa - tara pratyekei sat lokadera antarbhukta chila."
6,86,"āra isamāīla, īsā, iunusa o lūta - edera pratyekakei āmi navuoẏāta dāna kare samagra viśvera upara mahattva o śreṣṭhatva dāna karechi.","ara isamaila, isa, iunusa o luta - edera pratyekakei ami navuoyata dana kare samagra visvera upara mahattva o sresthatva dana karechi."
6,87,"āra edera vāpa-dādā, santāna, santati o bhāidera madhye anekake āmi manonīta kare saṭhika o sojā pathe paricālita karechi.","ara edera vapa-dada, santana, santati o bhaidera madhye anekake ami manonita kare sathika o soja pathe paricalita karechi."
6,88,"eṭāi āllāhara hidāẏāta; tini tā~ra vāndāra madhye yāke cāna ei pathe paricālita karena. kintu tārā yadi śirka karata tāhale tārā yā kichui karata, savai vyartha haẏe yeta.","etai allahara hidayata; tini ta~ra vandara madhye yake cana ei pathe paricalita karena. kintu tara yadi sirka karata tahale tara ya kichui karata, savai vyartha haye yeta."
6,89,"erā chila sei loka, yāderake āmi kitāva, śāsanabhāra o navuoẏāta dāna karechi. sutarāṃ yadi erā tomāra navuoẏātake asvīkāra kare tāhale tādera sthale āmi emana eka jātike niẏoga karava, yārā oṭā asvīkāra karenā.","era chila sei loka, yaderake ami kitava, sasanabhara o navuoyata dana karechi. sutaram yadi era tomara navuoyatake asvikara kare tahale tadera sthale ami emana eka jatike niyoga karava, yara ota asvikara karena."
