surah,ayah,latin_iast,latin_ascii
2,41,āra tomādera sāthe yā āche tāra satyāẏanakārīsvarūpa āmi yā nāyila karechi tāra prati tomarā īmāna āna evaṃ tomarā tā prathama asvīkārakārī haẏo nā. āra tomarā āmāra āẏātasamūha sāmānyamūlye vikri karo nā evaṃ kevala āmākei bhaẏa kara.,ara tomadera sathe ya ache tara satyayanakarisvarupa ami ya nayila karechi tara prati tomara imana ana evam tomara ta prathama asvikarakari hayo na. ara tomara amara ayatasamuha samanyamulye vikri karo na evam kevala amakei bhaya kara.
2,42,āra tomarā hakake vātilera sāthe miśrita karo nā evaṃ jene-vujhe hakake gopana karo nā.,ara tomara hakake vatilera sathe misrita karo na evam jene-vujhe hakake gopana karo na.
2,43,"āra tomarā sālāta kāẏema kara, yākāta pradāna kara evaṃ rukūkārīdera sāthe rukū kara.","ara tomara salata kayema kara, yakata pradana kara evam rukukaridera sathe ruku kara."
2,44,tomarā ki mānuṣake bhāla kājera ādeśa diccha āra nijaderake bhule yāccha? athaca tomarā kitāva tilāoẏāta kara. tomarā ki vujha nā?,tomara ki manusake bhala kajera adesa diccha ara nijaderake bhule yacchay athaca tomara kitava tilaoyata kara. tomara ki vujha nay
2,45,āra tomarā dhairya o sālātera mādhyame sāhāyya cāo. niścaẏa tā vinaẏī chār̤ā anyadera upara kaṭhina.,ara tomara dhairya o salatera madhyame sahayya cao. niscaya ta vinayi chara anyadera upara kathina.
2,46,"yārā viśvāsa kare ye, tārā tādera ravera sāthe sākṣāt karave evaṃ tārā tā~ra dike phire yāve.","yara visvasa kare ye, tara tadera ravera sathe saksat karave evam tara ta~ra dike phire yave."
2,47,"he vanī isarāīla, tomarā āmāra niāmatake smaraṇa kara, ye niāmata āmi tomāderake diẏechi evaṃ niścaẏa āmi tomāderake viśvavāsīra upara śreṣṭhatva diẏechi.","he vani isaraila, tomara amara niamatake smarana kara, ye niamata ami tomaderake diyechi evam niscaya ami tomaderake visvavasira upara sresthatva diyechi."
2,48,"āra tomarā se dinake bhaẏa kara, yedina keu kāro kona kāje āsave nā. āra kāro pakṣa theke kona supāriśa grahaṇa karā have nā evaṃ kārao kācha theke kona vinimaẏa neẏā have nā. āra tārā sāhāyyaprāptao have nā.","ara tomara se dinake bhaya kara, yedina keu karo kona kaje asave na. ara karo paksa theke kona suparisa grahana kara have na evam karao kacha theke kona vinimaya neya have na. ara tara sahayyapraptao have na."
2,49,"āra smaraṇa kara, yakhana āmi tomāderake phira‘āunera dala theke rakṣā karechilāma. tārā tomāderake kaṭhina āyāva dita. tomādera putra santānaderake yaveha karata evaṃ tomādera nārīderake vā~ciẏe rākhata. āra ete tomādera ravera pakṣa theke chila mahā parīkṣā.","ara smarana kara, yakhana ami tomaderake phira‘aunera dala theke raksa karechilama. tara tomaderake kathina ayava dita. tomadera putra santanaderake yaveha karata evam tomadera nariderake va~ciye rakhata. ara ete tomadera ravera paksa theke chila maha pariksa."
2,50,"āra yakhana tomādera janya āmi samudrake vibhakta karechilāma, ataḥpara tomāderake nājāta diẏechilāma evaṃ phira‘āuna dalake ḍuviẏe diẏechilāma, āra tomarā dekhachile.","ara yakhana tomadera janya ami samudrake vibhakta karechilama, atahpara tomaderake najata diyechilama evam phira‘auna dalake duviye diyechilama, ara tomara dekhachile."
2,51,"āra yakhana āmi mūsāke calliśa rātera oẏādā diẏechilāma ataḥpara tomarā tāra yāoẏāra para vāchurake (upāsyarūpe) grahaṇa karechile, āra tomarā chile yālima.","ara yakhana ami musake callisa ratera oyada diyechilama atahpara tomara tara yaoyara para vachurake (upasyarupe) grahana karechile, ara tomara chile yalima."
2,52,"tārapara āmi tomāderake e savera para kṣamā karechi, yāte tomarā śokara ādāẏa kara.","tarapara ami tomaderake e savera para ksama karechi, yate tomara sokara adaya kara."
2,53,āra yakhana āmi mūsāke diẏechilāma kitāva o phurakāna* yāte tomarā hidāẏātaprāpta hao. *- satya-mithyāra madhye pārthakyakārī tāorātera vāṇīsamagra.,ara yakhana ami musake diyechilama kitava o phurakana* yate tomara hidayataprapta hao. *- satya-mithyara madhye parthakyakari taoratera vanisamagra.
2,54,"āra yakhana mūsā tāra kaomake valechila, ‘he āmāra kaoma, niścaẏa tomarā vāchurake (upāsyarūpe) grahaṇa kare nijadera upara yulama karecha. sutarāṃ tomarā tomādera sṛṣṭikartāra kāche tāovā kara. ataḥpara tomarā nijaderake hatyā kara. eṭi tomādera janya tomādera sṛṣṭikartāra nikaṭa uttama. ataḥpara āllāha tomādera tāovā kavūla karalena. niścaẏa tini tāovā kavūlakārī, parama daẏālu.","ara yakhana musa tara kaomake valechila, ‘he amara kaoma, niscaya tomara vachurake (upasyarupe) grahana kare nijadera upara yulama karecha. sutaram tomara tomadera srstikartara kache taova kara. atahpara tomara nijaderake hatya kara. eti tomadera janya tomadera srstikartara nikata uttama. atahpara allaha tomadera taova kavula karalena. niscaya tini taova kavulakari, parama dayalu."
2,55,"āra yakhana tomarā valale, ‘he mūsā, āmarā tomāra prati īmāna ānava nā, yatakṣaṇa nā āmarā prakāśye āllāhake dekhi’. phale vajra tomāderake pākar̤āo karala āra tomarā tā dekhachile.","ara yakhana tomara valale, ‘he musa, amara tomara prati imana anava na, yataksana na amara prakasye allahake dekhi’. phale vajra tomaderake pakarao karala ara tomara ta dekhachile."
2,56,"ataḥpara āmi tomādera mṛtyura para tomāderake punaḥjīvana dāna karalāma, yāte tomarā śokara ādāẏa kara.","atahpara ami tomadera mrtyura para tomaderake punahjivana dana karalama, yate tomara sokara adaya kara."
2,57,"āra āmi tomādera upara meghera chāẏā dilāma evaṃ tomādera prati nāyila karalāma ‘mānnā’* o ‘sālaoẏā’**. tomarā se pavitra vastta theke āhāra kara, yā āmi tomāderake riyka diẏechi. āra tārā āmāra prati yulama kareni, varaṃ tārā nijaderakei yulama karata. *‘mānnā’ eka dharaṇera susvādu khāvāra, yā śiśirera mata gāchera pātāẏa o ghāsera upara jame thākata. āllāha viśeṣabhāve tā vanī isarāīlera janya preraṇa karechilena.","ara ami tomadera upara meghera chaya dilama evam tomadera prati nayila karalama ‘manna’* o ‘salaoya’**. tomara se pavitra vastta theke ahara kara, ya ami tomaderake riyka diyechi. ara tara amara prati yulama kareni, varam tara nijaderakei yulama karata. *‘manna’ eka dharanera susvadu khavara, ya sisirera mata gachera pataya o ghasera upara jame thakata. allaha visesabhave ta vani isarailera janya prerana karechilena."
2,58,"āra smaraṇa kara, yakhana āmi valalāma, ‘tomarā praveśa kara ei janapade. āra tā theke āhāra kara tomādera icchānuyāẏī, svācchandye evaṃ darajāẏa praveśa kara māthā nīcu kare. āra vala ‘kṣamā’. tāhale āmi tomādera pāpasamūha kṣamā kare deva evaṃ niścaẏa āmi satkarmaśīladerake vār̤iẏe deva’.","ara smarana kara, yakhana ami valalama, ‘tomara pravesa kara ei janapade. ara ta theke ahara kara tomadera icchanuyayi, svacchandye evam darajaya pravesa kara matha nicu kare. ara vala ‘ksama’. tahale ami tomadera papasamuha ksama kare deva evam niscaya ami satkarmasiladerake variye deva’."
2,59,"ataḥpara yālimarā pavivartana kare phelala se kathā yā tāderake valā haẏechila, bhinna anya kathā diẏe. phale āmi tādera upara āsamāna theke āyāva nāyila karalāma, kāraṇa tārā pāpācāra karata.","atahpara yalimara pavivartana kare phelala se katha ya taderake vala hayechila, bhinna anya katha diye. phale ami tadera upara asamana theke ayava nayila karalama, karana tara papacara karata."
2,60,"āra smaraṇa kara, yakhana mūsā tāra kaomara janya pāni cāila, takhana āmi valalāma, ‘tumi tomāra lāṭhi dvārā pātharake āghāta kara’. phale tā theke utsārita hala vāraṭi jharanā. pratiṭi dala tādera pāni pānera sthāna jene nila. tomarā āllāhara riyka theke āhāra kara o pāna kara evaṃ phāsādakārī haẏe yamīne ghure ver̤iẏo nā.","ara smarana kara, yakhana musa tara kaomara janya pani caila, takhana ami valalama, ‘tumi tomara lathi dvara patharake aghata kara’. phale ta theke utsarita hala varati jharana. pratiti dala tadera pani panera sthana jene nila. tomara allahara riyka theke ahara kara o pana kara evam phasadakari haye yamine ghure veriyo na."
2,61,"āra yakhana tomarā valale, ‘he mūsā, āmarā eka khāvārera upara kakhano dhairya dharava nā. sutarāṃ tumi āmādera janya tomāra ravera nikaṭa do‘ā kara, yena tini āmādera janya vera karena, bhūmi ye savji, kā~kar̤a, rasuna, masura o pe~ẏāja utpanna kare, tā’. se valala, ‘tomarā ki yā uttama tāra parivarte emana jinisa grahaṇa karacha yā nimnamānera? tomarā kona eka nagarīte avataraṇa kara. tave niścaẏa tomādera janya (sekhāne) thākave, yā tomarā ceẏecha’. āra tādera upara āropa karā haẏeche lāñchanā o dāridrya evaṃ tārā āllāhara krodhera śikāra hala. tā ei kāraṇe ye, tārā āllāhara āẏātasamūhake asvīkāra karata evaṃ anyāẏabhāve navīderake hatyā karata. tā ei kāraṇe ye, tārā nāpharamānī karechila evaṃ tārā sīmālaṅghana karata.","ara yakhana tomara valale, ‘he musa, amara eka khavarera upara kakhano dhairya dharava na. sutaram tumi amadera janya tomara ravera nikata do‘a kara, yena tini amadera janya vera karena, bhumi ye savji, ka~kara, rasuna, masura o pe~yaja utpanna kare, ta’. se valala, ‘tomara ki ya uttama tara parivarte emana jinisa grahana karacha ya nimnamaneray tomara kona eka nagarite avatarana kara. tave niscaya tomadera janya (sekhane) thakave, ya tomara ceyecha’. ara tadera upara aropa kara hayeche lanchana o daridrya evam tara allahara krodhera sikara hala. ta ei karane ye, tara allahara ayatasamuhake asvikara karata evam anyayabhave naviderake hatya karata. ta ei karane ye, tara napharamani karechila evam tara simalanghana karata."
2,62,"niścaẏa yārā īmāna eneche, yārā iẏāhūdī haẏeche evaṃ nāsārā o sāviīrā* -(tādera madhye) yārā īmāna eneche āllāha o śeṣa dinera prati evaṃ neka kāja kareche - tave tādera janya raẏeche tādera ravera nikaṭa tādera pratidāna. āra tādera kona bhaẏa nei evaṃ tārā duḥkhitao have nā. *sāviī- vibhinna graha-nakṣatrera pūjārī matāntare phereśatādera upāsanākārī.","niscaya yara imana eneche, yara iyahudi hayeche evam nasara o saviira* -(tadera madhye) yara imana eneche allaha o sesa dinera prati evam neka kaja kareche - tave tadera janya rayeche tadera ravera nikata tadera pratidana. ara tadera kona bhaya nei evam tara duhkhitao have na. *savii- vibhinna graha-naksatrera pujari matantare pheresatadera upasanakari."
2,63,"āra smaraṇa kara, yakhana āmi tomādera aṅgīkāra grahaṇa karalāma evaṃ tūra pāhār̤ake tomādera upara uṭhālāma āmi (valalāma) ‘tomāderake yā diẏechi, tā śaktabhāve dhara evaṃ tāte yā raẏeche tā smaraṇa kara, yāte tomarā tākaoẏā avalamvana karate pāra’.","ara smarana kara, yakhana ami tomadera angikara grahana karalama evam tura paharake tomadera upara uthalama ami (valalama) ‘tomaderake ya diyechi, ta saktabhave dhara evam tate ya rayeche ta smarana kara, yate tomara takaoya avalamvana karate para’."
